,연도,날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고,시리즈
0,2018,10.03(목),14:00,NC1vs3LG,리뷰,하이라이트,S-T,,잠실,-,"3,4,5,7"
1,2018,10.05(토),,,,,,,,이동일,"3,4,5,7"
2,2018,10.06(일),14:00,LG0vs1키움,리뷰,하이라이트,M-T,,고척,-,"3,4,5,7"
3,2018,10.07(월),18:30,LG4vs5키움,리뷰,하이라이트,M-T,,고척,-,"3,4,5,7"
4,2018,10.08(화),,,,,,,,이동일,"3,4,5,7"
5,2018,10.09(수),14:00,키움2vs4LG,리뷰,하이라이트,K-2T,,잠실,-,"3,4,5,7"
6,2018,10.10(목),18:30,키움10vs5LG,리뷰,하이라이트,S-T,,잠실,-,"3,4,5,7"
7,2018,10.13(일),,,,,,,,이동일,"3,4,5,7"
8,2018,10.14(월),18:30,키움3vs0SK,리뷰,하이라이트,K-2T,,문학,-,"3,4,5,7"
9,2018,10.15(화),18:30,키움8vs7SK,리뷰,하이라이트,MS-TSS-TSPO-T,,문학,-,"3,4,5,7"
10,2018,10.16(수),,,,,,,,이동일,"3,4,5,7"
11,2018,10.17(목),18:30,SK1vs10키움,리뷰,하이라이트,S-T,,고척,-,"3,4,5,7"
12,2018,10.21(월),,,,,,,,이동일,"3,4,5,7"
13,2018,10.22(화),18:30,키움6vs7두산,리뷰,하이라이트,K-2T,,잠실,-,"3,4,5,7"
14,2018,10.23(수),18:30,키움5vs6두산,리뷰,하이라이트,S-T,,잠실,-,"3,4,5,7"
15,2018,10.24(목),,,,,,,,이동일,"3,4,5,7"
16,2018,10.25(금),18:30,두산5vs0키움,리뷰,하이라이트,M-T,,고척,-,"3,4,5,7"
17,2018,10.26(토),14:00,두산11vs9키움,리뷰,하이라이트,K-2T,,고척,-,"3,4,5,7"
18,2018,03.14(토),13:00,두산vs삼성,,,,,대구,기타,1
19,2018,,13:00,LGvsNC,,,,,창원,기타,1
20,2018,,13:00,롯데vsKIA,,,,,광주,기타,1
21,2018,,13:00,KTvs키움,,,,,고척,기타,1
22,2018,,13:00,SKvs한화,,,,,대전,기타,1
23,2018,03.15(일),13:00,두산vs삼성,,,,,대구,기타,1
24,2018,,13:00,LGvsNC,,,,,창원,기타,1
25,2018,,13:00,롯데vsKIA,,,,,광주,기타,1
26,2018,,13:00,KTvs키움,,,,,고척,기타,1
27,2018,,13:00,SKvs한화,,,,,대전,기타,1
28,2018,03.16(월),13:00,KTvs삼성,,,,,대구,기타,1
29,2018,,13:00,두산vsNC,,,,,창원,기타,1
30,2018,,13:00,LGvsKIA,,,,,광주,기타,1
31,2018,,13:00,SKvs키움,,,,,고척,기타,1
32,2018,,13:00,롯데vs한화,,,,,대전,기타,1
33,2018,03.17(화),13:00,KTvs삼성,,,,,대구,기타,1
34,2018,,13:00,두산vsNC,,,,,창원,기타,1
35,2018,,13:00,LGvsKIA,,,,,광주,기타,1
36,2018,,13:00,SKvs키움,,,,,고척,기타,1
37,2018,,13:00,롯데vs한화,,,,,대전,기타,1
38,2018,03.19(목),13:00,롯데vsLG,,,,,잠실,기타,1
39,2018,,13:00,삼성vsSK,,,,,문학,기타,1
40,2018,,13:00,KIAvsKT,,,,,수원,기타,1
41,2018,,13:00,두산vs키움,,,,,고척,기타,1
42,2018,,13:00,NCvs한화,,,,,대전,기타,1
43,2018,03.20(금),13:00,롯데vsLG,,,,,잠실,기타,1
44,2018,,13:00,삼성vsSK,,,,,문학,기타,1
45,2018,,13:00,KIAvsKT,,,,,수원,기타,1
46,2018,,13:00,두산vs키움,,,,,고척,기타,1
47,2018,,13:00,NCvs한화,,,,,대전,기타,1
48,2018,03.21(토),13:00,두산vsLG,,,,,잠실,기타,1
49,2018,,13:00,KIAvsSK,,,,,문학,기타,1
50,2018,,13:00,NCvs삼성,,,,,대구,기타,1
51,2018,,13:00,한화vsKT,,,,,수원,기타,1
52,2018,,13:00,롯데vs키움,,,,,고척,기타,1
53,2018,03.22(일),13:00,LGvs두산,,,,,잠실,기타,1
54,2018,,13:00,KIAvsSK,,,,,문학,기타,1
55,2018,,13:00,NCvs삼성,,,,,대구,기타,1
56,2018,,13:00,한화vsKT,,,,,수원,기타,1
57,2018,,13:00,롯데vs키움,,,,,고척,기타,1
58,2018,03.23(월),13:00,한화vs두산,,,,,잠실,기타,1
59,2018,,13:00,LGvsSK,,,,,문학,기타,1
60,2018,,13:00,키움vsNC,,,,,창원,기타,1
